num_utenti,metrica,richiesta,valore_medio
80,response_times,search_page,69.49
80,response_times,movie_detail,148.82
80,response_times,total,218.31
80,throughput,search_page,13.51
80,throughput,movie_detail,13.30
80,throughput,total,13.50
80,response_times,search_page,70.8
80,response_times,movie_detail,155.76
80,response_times,total,226.56
80,throughput,search_page,13.4
80,throughput,movie_detail,13.01
80,throughput,total,13.26
80,response_times,search_page,61.13
80,response_times,movie_detail,127.85
80,response_times,total,188.97
80,throughput,search_page,12.62
80,throughput,movie_detail,12.34
80,throughput,total,12.61
80,response_times,search_page,99.34
80,response_times,movie_detail,176.83
80,response_times,total,276.16
80,throughput,search_page,12.46
80,throughput,movie_detail,12.37
80,throughput,total,12.45
80,response_times,search_page,66.27
80,response_times,movie_detail,123.52
80,response_times,total,189.79
80,throughput,search_page,12.94
80,throughput,movie_detail,12.92
80,throughput,total,12.93
80,response_times,search_page,62.17
80,response_times,movie_detail,135.74
80,response_times,total,197.91
80,throughput,search_page,12.91
80,throughput,movie_detail,12.70
80,throughput,total,12.90
100,response_times,search_page,124.89
100,response_times,movie_detail,209.4
100,response_times,total,334.29
100,throughput,search_page,14.89
100,throughput,movie_detail,14.73
100,throughput,total,14.87
100,response_times,search_page,120.12
100,response_times,movie_detail,222.24
100,response_times,total,342.36
100,throughput,search_page,14.91
100,throughput,movie_detail,14.69
100,throughput,total,14.89
100,response_times,search_page,110.99
100,response_times,movie_detail,198.42
100,response_times,total,309.41
100,throughput,search_page,14.91
100,throughput,movie_detail,14.83
100,throughput,total,14.90
100,response_times,search_page,200.09
100,response_times,movie_detail,402.93
100,response_times,total,603.02
100,throughput,search_page,13.93
100,throughput,movie_detail,13.90
100,throughput,total,13.91
100,response_times,search_page,155.99
100,response_times,movie_detail,317.88
100,response_times,total,473.87
100,throughput,search_page,16.16
100,throughput,movie_detail,15.96
100,throughput,total,16.14
100,response_times,search_page,110.64
100,response_times,movie_detail,206.94
100,response_times,total,317.59
100,throughput,search_page,15.67
100,throughput,movie_detail,15.59
100,throughput,total,15.66
100,response_times,search_page,125.89
100,response_times,movie_detail,208.4
100,response_times,total,334.29
100,throughput,search_page,14.9
100,throughput,movie_detail,14.72
100,throughput,total,14.88
100,response_times,search_page,120.05
100,response_times,movie_detail,217.25
100,response_times,total,337.31
100,throughput,search_page,16.02
100,throughput,movie_detail,15.84
100,throughput,total,16.00
100,response_times,search_page,127.89
100,response_times,movie_detail,206.42
100,response_times,total,334.31
100,throughput,search_page,14.88
100,throughput,movie_detail,14.74
100,throughput,total,14.87
100,response_times,search_page,126.54
100,response_times,movie_detail,213.74
100,response_times,total,340.29
100,throughput,search_page,16.16
100,throughput,movie_detail,16.05
100,throughput,total,16.14
120,response_times,search_page,291.31
120,response_times,movie_detail,409.72
120,response_times,total,701.03
120,throughput,search_page,17.74
120,throughput,movie_detail,17.53
120,throughput,total,17.69
120,response_times,search_page,300.1
120,response_times,movie_detail,400.2
120,response_times,total,700.3
120,throughput,search_page,17.7
120,throughput,movie_detail,17.3
120,throughput,total,17.6
120,response_times,search_page,244.13
120,response_times,movie_detail,394.53
120,response_times,total,638.66
120,throughput,search_page,17.34
120,throughput,movie_detail,17.14
120,throughput,total,17.32
120,response_times,search_page,291.31
120,response_times,movie_detail,409.72
120,response_times,total,701.03
120,throughput,search_page,17.74
120,throughput,movie_detail,17.53
120,throughput,total,17.69
120,response_times,search_page,290.32
120,response_times,movie_detail,419.72
120,response_times,total,710.04
120,throughput,search_page,17.75
120,throughput,movie_detail,17.50
120,throughput,total,17.70
120,response_times,search_page,250.39
120,response_times,movie_detail,361.86
120,response_times,total,612.25
120,throughput,search_page,17.99
120,throughput,movie_detail,17.96
120,throughput,total,17.97
120,response_times,search_page,281.3
120,response_times,movie_detail,409.72
120,response_times,total,691.02
120,throughput,search_page,17.84
120,throughput,movie_detail,17.5
120,throughput,total,17.75
120,response_times,search_page,230.89
120,response_times,movie_detail,401.15
